CA,California,40223504
TX,Texas,30345487
FL,Florida,22359251
NY,New York,20448194
PA,Pennsylvania,13092796
IL,Illinois,12807072
OH,Ohio,11878330
GA,Georgia,11019186
NC,North Carolina,10710558
MI,Michigan,10135438
NJ,New Jersey,9438124
VA,Virginia,8820504
WA,Washington,7999503
AZ,Arizona,7379346
MA,Massachusetts,7174604
TN,Tennessee,7080262
IN,Indiana,6876047
MD,Maryland,6298325
MO,Missouri,6204710
CO,Colorado,5997070
WI,Wisconsin,5955737
MN,Minnesota,5827265
SC,South Carolina,5266343
AL,Alabama,5097641
LA,Louisiana,4695071
KY,Kentucky,4555777
OR,Oregon,4359110
OK,Oklahoma,4021753
CT,Connecticut,3615499
UT,Utah,3423935
IA,Iowa,3233572
NV,Nevada,3225832
AR,Arkansas,3040207
KS,Kansas,2963308
MS,Mississippi,2959473
NM,New Mexico,2135024
NE,Nebraska,2002052
ID,Idaho,1920562
WV,West Virginia,1775932
HI,Hawaii,1483762
NH,New Hampshire,1395847
ME,Maine,1372559
MT,Montana,1112668
RI,Rhode Island,1110822
DE,Delaware,1017551
SD,South Dakota,908414
ND,North Dakota,811044
AK,Alaska,740339
VT,Vermont,648279
WY,Wyoming,580817
